,# of patients,Greedy(score),Greedy(ptime),Integer Programming(score),Integer Programming(ptime),Quantum annealing(score),Quantum annealing(ptime)
0,8,131.91323040370526,0.0029540061950683594,131.91323040370526,0.003119230270385742,138.05593078709452,52.96219301223755
1,8,130.2618140263023,0.003122091293334961,130.2618140263023,0.003091573715209961,134.53518642992526,52.223437547683716
2,8,183.39374018469505,0.0030579566955566406,183.39374018469505,0.0029191970825195312,190.39375081948432,53.18902659416199
3,8,100.45343589962667,0.003004312515258789,100.45343589962667,0.002940654754638672,114.36622118972554,52.13880205154419
4,8,102.92823097443932,0.003007173538208008,102.92823097443932,0.0030786991119384766,109.73974179603528,54.03865671157837
5,8,132.5426148782367,0.002997159957885742,132.5426148782367,0.0029129981994628906,134.66071133165815,54.34488487243652
6,8,133.49301531619946,0.0030236244201660156,133.49301531619946,0.002928495407104492,126.2827957545294,53.69254946708679
7,8,79.5138092973629,0.003164052963256836,79.5138092973629,0.003094196319580078,90.8763914985,50.98560619354248
8,8,78.23208958296739,0.0032744407653808594,78.23208958296739,0.003070831298828125,87.42243213887684,52.47953128814697
9,8,110.91261391201925,0.0031363964080810547,110.91261391201925,0.003121614456176758,113.65326432506738,53.73972487449646
